route_name,direction_text,stop_number,stop_name
0東,去程,1,瑞湖街口
0東,去程,2,麗寶大樓
0東,去程,3,公館山
0東,去程,4,瑞光路
0東,去程,5,內湖運動中心
0東,去程,6,港墘派出所
0東,去程,7,西湖圖書館(湖光教會)
0東,去程,8,湖光國宅
0東,去程,9,捷運文德站(碧湖公園)
0東,去程,10,內湖高中
0東,去程,11,方濟中學
0東,去程,12,將軍嶺
0東,去程,13,三總內湖站
0東,去程,14,國防醫學中心
0東,去程,15,內湖行政大樓
0東,去程,16,三民國中
0東,去程,17,時報廣場
0東,去程,18,民權大橋
0東,去程,19,新益里
0東,去程,20,民生國中
0東,去程,21,新東街口
0東,去程,22,三民路
0東,去程,23,三民健康路口(西松高中)
0東,去程,24,健康新城
0東,去程,25,長壽公園
0東,去程,26,三軍總醫院松山分院
0東,去程,27,南京新村
0東,去程,28,博仁醫院
0東,去程,29,光復路口
0東,去程,30,美仁里
0東,去程,31,臺視
0東,去程,32,市民敦化路口
0東,去程,33,忠孝敦化路口
0東,去程,34,仁愛敦化路口
0東,去程,35,信義敦化路口
0東,去程,36,信義大安路口
0東,去程,37,捷運大安站(信義)
0東,去程,38,師大附中
0東,去程,39,信義建國路口
0東,去程,40,捷運大安森林公園站
0東,去程,41,信義新生路口
0東,去程,42,信義永康街口
0東,去程,43,捷運東門站
0東,去程,44,信義杭州路口
0東,去程,45,中正紀念堂
0東,去程,46,捷運台大醫院站
0東,去程,47,博物館(館前)
0東,去程,48,臺北車站(忠孝)
0東,回程,1,臺北車站(公園)
0東,回程,2,捷運台大醫院站
0東,回程,3,中正紀念堂
0東,回程,4,信義杭州路口
0東,回程,5,捷運東門站
0東,回程,6,信義永康街口(捷運東門站)
0東,回程,7,信義新生路口
0東,回程,8,捷運大安森林公園站
0東,回程,9,信義建國路口
0東,回程,10,捷運大安站(信義)
0東,回程,11,信義大安路口
0東,回程,12,信義敦化路口
0東,回程,13,仁愛國中
0東,回程,14,安和敦化路口
0東,回程,15,捷運忠孝敦化站
0東,回程,16,市民大道口
0東,回程,17,臺視
0東,回程,18,美仁里
0東,回程,19,榮民服務處
0東,回程,20,南京新村
0東,回程,21,三軍總醫院松山分院
0東,回程,22,長壽公園
0東,回程,23,健康新城
0東,回程,24,三民健康路口(西松高中)
0東,回程,25,三民路
0東,回程,26,新東街口
0東,回程,27,民生國中
0東,回程,28,新益里
0東,回程,29,民權大橋
0東,回程,30,時報廣場
0東,回程,31,三民國中
0東,回程,32,內湖行政大樓
0東,回程,33,國防醫學中心
0東,回程,34,三總內湖站
0東,回程,35,將軍嶺
0東,回程,36,方濟中學
0東,回程,37,內湖高中
0東,回程,38,捷運文德站(碧湖公園)
0東,回程,39,湖光國宅
0東,回程,40,西湖圖書館(湖光教會)
0東,回程,41,港墘派出所
0東,回程,42,瑞光路
0東,回程,43,公館山
0東,回程,44,麗寶大樓
0東,回程,45,瑞湖街口
0南,去程,1,萬芳社區
0南,去程,2,萬芳活動中心
0南,去程,3,萬芳國小
0南,去程,4,萬芳6號公園
0南,去程,5,萬利街口
0南,去程,6,棕櫚泉社區
0南,去程,7,文山運動中心(萬芳)
0南,去程,8,臺灣警察專科學校
0南,去程,9,捷運萬芳醫院站
0南,去程,10,中國科技大學(興隆)
0南,去程,11,興隆國小
0南,去程,12,興德國小
0南,去程,13,興隆市場
0南,去程,14,靜心高中
0南,去程,15,憲光公寓
0南,去程,16,景明街口
0南,去程,17,武功國小(興隆)
0南,去程,18,師大分部
0南,去程,19,捷運公館站
0南,去程,20,臺大
0南,去程,21,臺大綜合體育館
0南,去程,22,溫州街口
0南,去程,23,師大綜合大樓
0南,去程,24,師大
0南,去程,25,金山潮州街口
0南,去程,26,公企中心
0南,去程,27,捷運東門站(金山)
0南,回程,1,信義永康街口(捷運東門站)
0南,回程,2,金華新生路口
0南,回程,3,和平新生路口
0南,回程,4,龍安國小(公務人力發展學院)
0南,回程,5,臺大綜合體育館
0南,回程,6,臺大
0南,回程,7,捷運公館站
0南,回程,8,師大分部
0南,回程,9,武功國小(興隆)
0南,回程,10,景明街口
0南,回程,11,憲光公寓
0南,回程,12,靜心高中
0南,回程,13,興隆市場
0南,回程,14,興德國小
0南,回程,15,興隆國小
0南,回程,16,捷運萬芳醫院站
0南,回程,17,臺灣警察專科學校
0南,回程,18,文山運動中心(萬芳)
0南,回程,19,棕櫚泉社區
0南,回程,20,萬利街口
0南,回程,21,捷運萬芳社區站
0南,回程,22,萬芳6號公園
0南,回程,23,萬芳國小
0南,回程,24,萬芳活動中心
0南,回程,25,萬芳社區
1,去程,1,華江站
1,去程,2,人壽一村
1,去程,3,大理高中
1,去程,4,華江派出所
1,去程,5,中國時報
1,去程,6,捷運龍山寺站
1,去程,7,昆明街口
1,去程,8,和平中華路口
1,去程,9,植物園
1,去程,10,建國中學
1,去程,11,自來水西分處(寧波)
1,去程,12,聯合醫院婦幼院區一
1,去程,13,南昌家具街
1,去程,14,羅斯福金門街口
1,去程,15,羅斯福浦城街口
1,去程,16,捷運台電大樓站
1,去程,17,台電大樓
1,去程,18,捷運公館站
1,去程,19,公館
1,去程,20,臺灣科技大學
1,去程,21,臺大癌醫(基隆路)
1,去程,22,基隆長興街口
1,去程,23,和平高中
1,去程,24,捷運六張犁站(基隆路)
1,去程,25,喬治商職
1,去程,26,三興國小(臨江街觀光夜市)
1,去程,27,吳興街口
1,去程,28,世貿中心(莊敬)
1,去程,29,景新里
1,去程,30,臺北醫學大學
1,去程,31,信義國中(莊敬)
1,去程,32,吳興國小(莊敬)
1,去程,33,松仁路
1,回程,1,松仁路
1,回程,2,吳興國小(松仁)
1,回程,3,信義國中(莊敬)
1,回程,4,臺北醫學大學
1,回程,5,景新里
1,回程,6,世貿中心(莊敬)
1,回程,7,吳興街口
1,回程,8,三興國小(臨江街觀光夜市)
1,回程,9,喬治商職
1,回程,10,捷運六張犁站(基隆路)
1,回程,11,和平高中
1,回程,12,基隆長興街口
1,回程,13,臺大癌醫(基隆路)
1,回程,14,臺灣科技大學
1,回程,15,公館
1,回程,16,捷運公館站
1,回程,17,台電大樓
1,回程,18,捷運台電大樓站
1,回程,19,羅斯福浦城街口
1,回程,20,羅斯福金門街口
1,回程,21,捷運古亭站(羅斯福)
1,回程,22,捷運古亭站(杭州)
1,回程,23,南福板溪(南昌公園)
1,回程,24,牯嶺街
1,回程,25,自來水西分處(牯嶺)
1,回程,26,牯嶺街小劇場
1,回程,27,建國中學(歷史博物館)
1,回程,28,植物園
1,回程,29,和平中華路口
1,回程,30,昆明街口
1,回程,31,捷運龍山寺站
1,回程,32,中國時報
1,回程,33,華江派出所
1,回程,34,大理高中
1,回程,35,人壽一村
1,回程,36,華江站
2,去程,1,富洲里
2,去程,2,台北海大
2,去程,3,浮線
2,去程,4,富洲里九段
2,去程,5,威靈廟
2,去程,6,下溪沙尾
2,去程,7,建安新村
2,去程,8,富安國小
2,去程,9,富洲里八段
2,去程,10,福安國中
2,去程,11,臨江園
2,去程,12,地藏禪寺
2,去程,13,下竹圍
2,去程,14,福安區民活動中心
2,去程,15,福安里
2,去程,16,普濟堂
2,去程,17,社子國小二
2,去程,18,社子國小
2,去程,19,永倫里(南)
2,去程,20,社子派出所
2,去程,21,社子市場二
2,去程,22,社子市場
2,去程,23,葫蘆寺(葫蘆里)
2,去程,24,葫蘆堵市場
2,去程,25,海光新村
2,去程,26,社子消防分隊
2,去程,27,污水處理廠
2,去程,28,老師里
2,去程,29,酒泉街
2,去程,30,民族重慶路口
2,去程,31,昌吉重慶路口
2,去程,32,捷運大橋頭站
2,去程,33,涼州重慶路口
2,去程,34,民生重慶路口
2,去程,35,朝陽公園(鈕釦街)
2,去程,36,圓環(南京)
2,去程,37,臺北車站(承德)
2,去程,38,臺北車站(鄭州)
2,去程,39,行政院
2,去程,40,臺大醫院
2,回程,1,捷運台大醫院站
2,回程,2,臺北車站(青島)
2,回程,3,行政院
2,回程,4,臺北車站(鄭州)
2,回程,5,後車站
2,回程,6,圓環(重慶)
2,回程,7,民生重慶路口
2,回程,8,涼州重慶路口
2,回程,9,捷運大橋頭站
2,回程,10,昌吉重慶路口
2,回程,11,民族重慶路口
2,回程,12,蘭州國中
2,回程,13,民族承德路口
2,回程,14,庫倫街
2,回程,15,大龍峒保安宮
2,回程,16,酒泉重慶路口
2,回程,17,酒泉街
2,回程,18,老師里
2,回程,19,污水處理廠
2,回程,20,社子消防分隊
2,回程,21,海光新村
2,回程,22,葫蘆堵市場
2,回程,23,葫蘆寺(葫蘆里)
2,回程,24,社子市場
2,回程,25,社園里
2,回程,26,社子派出所
2,回程,27,永倫里(南)
2,回程,28,社子國小
2,回程,29,永倫里(延平)
2,回程,30,洲美橋
2,回程,31,中窟
2,回程,32,福安里
2,回程,33,福安區民活動中心
2,回程,34,下竹圍
2,回程,35,地藏禪寺
2,回程,36,臨江園
2,回程,37,福安國中
2,回程,38,富洲里八段
2,回程,39,富安國小
2,回程,40,建安新村
2,回程,41,下溪沙尾
2,回程,42,威靈廟
2,回程,43,富洲里九段
2,回程,44,浮線
2,回程,45,台北海大
2,回程,46,富洲里
5,去程,1,中和保養廠
5,去程,2,家美工業區
5,去程,3,捷運中和站(中山路)
5,去程,4,一江新村
5,去程,5,中和農會(中和路)
5,去程,6,中和廟口
5,去程,7,中和派出所
5,去程,8,南山高中
5,去程,9,雙和里
5,去程,10,華泰新城(宜安路)
5,去程,11,宜安路
5,去程,12,安平路
5,去程,13,潭墘
5,去程,14,823紀念公園
5,去程,15,永安市場
5,去程,16,自強街口
5,去程,17,樂華夜市
5,去程,18,捷運頂溪站
5,去程,19,中正橋頭
5,去程,20,重慶南路三段(中正橋)
5,去程,21,福州街
5,去程,22,自來水西分處(牯嶺)
5,去程,23,南昌路
5,去程,24,南門
5,去程,25,一女中(公園)
5,去程,26,捷運台大醫院站
5,去程,27,臺北車站(青島)
5,去程,28,行政院
5,去程,29,中山市場
5,去程,30,南京林森路口
5,去程,31,南京吉林路口
5,去程,32,捷運松江南京站
5,去程,33,長春松江路口
5,去程,34,民生松江路口
5,去程,35,合江街口
5,去程,36,臺北大學(臺北校區)
5,去程,37,捷運中山國中站
5,去程,38,民權龍江路口
5,去程,39,民權建國路口
5,去程,40,民權松江路口
5,回程,1,捷運行天宮站(松江路)
5,回程,2,長春松江路口
5,回程,3,南京吉林路口
5,回程,4,南京林森路口
5,回程,5,中山市場
5,回程,6,行政院
5,回程,7,臺北車站(公園)
5,回程,8,捷運台大醫院站
5,回程,9,一女中(公園)
5,回程,10,市立大學附小
5,回程,11,南門
5,回程,12,寧波重慶路口
5,回程,13,重慶南路三段(中正橋)
5,回程,14,捷運頂溪站
5,回程,15,中興街口
5,回程,16,樂華夜市
5,回程,17,永和路口
5,回程,18,永安市場(永貞路)
5,回程,19,中安街
5,回程,20,安平派出所
5,回程,21,安平路
5,回程,22,宜安路
5,回程,23,華泰新城(宜安路)
5,回程,24,雙和里
5,回程,25,南山高中
5,回程,26,中和派出所
5,回程,27,中和廟口
5,回程,28,中和農會(中和路)
5,回程,29,一江新村
5,回程,30,捷運中和站(中山路)
5,回程,31,家美工業區
5,回程,32,中和保養廠
8,去程,1,捷運新店站(新店路)
8,去程,2,溪頭
8,去程,3,大坪頂
8,去程,4,頂城
8,去程,5,胡璉故居紀念館
8,去程,6,下城社區
8,去程,7,安華路口
8,去程,8,輕軌安康站
8,去程,9,及人中學
8,去程,10,十四份
8,去程,11,光華街口
8,去程,12,輕軌陽光運動公園站
8,去程,13,石頭厝
8,去程,14,安和路二段
8,去程,15,陽光運動公園(新店花市)
8,去程,16,永平里
8,去程,17,輕軌新和國小站(水工大樓)
8,去程,18,新和國小
8,去程,19,三介廟
8,去程,20,景新街
8,去程,21,欣欣向榮(景新街)
8,去程,22,景新街口
8,去程,23,捷運景安站
8,回程,1,中和教會
8,回程,2,景新街
8,回程,3,三介廟
8,回程,4,新和國小
8,回程,5,輕軌新和國小站(水工大樓)
8,回程,6,永平里
8,回程,7,陽光運動公園(新店花市)
8,回程,8,安和路二段
8,回程,9,石頭厝
8,回程,10,輕軌陽光運動公園站
8,回程,11,光華街口
8,回程,12,十四份
8,回程,13,及人中學
8,回程,14,輕軌安康站
8,回程,15,光華新村(安康路)
8,回程,16,安華路口
8,回程,17,下城社區
8,回程,18,胡璉故居紀念館
8,回程,19,頂城
8,回程,20,大坪頂
8,回程,21,溪頭
8,回程,22,碧潭橋頭
8,回程,23,檳榔路
8,回程,24,捷運新店區公所站(北新)
8,回程,25,中正路
8,回程,26,中興中正路口
8,回程,27,五峰國中
8,回程,28,中興路一段
8,回程,29,舊郵政館
8,回程,30,捷運新店站(新店路)
9,去程,1,社子國小
9,去程,2,永倫里(南)
9,去程,3,社子派出所
9,去程,4,社子市場二
9,去程,5,社子市場
9,去程,6,葫蘆寺(葫蘆里)
9,去程,7,葫蘆堵市場
9,去程,8,海光新村
9,去程,9,社子消防分隊
9,去程,10,污水處理廠
9,去程,11,老師里
9,去程,12,酒泉街
9,去程,13,民族重慶路口
9,去程,14,昌吉重慶路口
9,去程,15,捷運大橋頭站
9,去程,16,涼州重慶路口
9,去程,17,保安街口
9,去程,18,民生西路口(大稻埕碼頭)
9,去程,19,南京西路口(鈕釦街)
9,去程,20,南京西路口(塔城)
9,去程,21,聯合醫院中興院區(塔城)
9,去程,22,捷運北門站
9,去程,23,中華路北站
9,去程,24,捷運西門站
9,去程,25,小南門
9,去程,26,龍山國中
9,去程,27,昆明街口
9,去程,28,龍山寺(康定)
9,回程,1,祖師廟(康定)
9,回程,2,長沙街
9,回程,3,捷運西門站
9,回程,4,中華路北站
9,回程,5,捷運北門站
9,回程,6,南京西路口(塔城)
9,回程,7,南京西路口(鈕釦街)
9,回程,8,民生西路口(大稻埕碼頭)
9,回程,9,保安街口
9,回程,10,涼州重慶路口
9,回程,11,捷運大橋頭站
9,回程,12,昌吉重慶路口
9,回程,13,民族重慶路口
9,回程,14,蘭州國中
9,回程,15,民族承德路口
9,回程,16,庫倫街
9,回程,17,大龍峒保安宮
9,回程,18,酒泉重慶路口
9,回程,19,酒泉街
9,回程,20,老師里
9,回程,21,污水處理廠
9,回程,22,社子消防分隊
9,回程,23,海光新村
9,回程,24,葫蘆堵市場
9,回程,25,葫蘆寺(葫蘆里)
9,回程,26,社子市場
9,回程,27,社園里
9,回程,28,社子派出所
9,回程,29,永倫里(南)
9,回程,30,社子國小
12,去程,1,華中河濱公園
12,去程,2,果菜市場
12,去程,3,光仁國小
12,去程,4,青年路派出所
12,去程,5,青年路
12,去程,6,中正新城
12,去程,7,青年社區
12,去程,8,青年公園(青年)
12,去程,9,青年公園(國興)
12,去程,10,國興路口一
12,去程,11,國興路口
12,去程,12,中華南海路口
12,去程,13,南機場公寓
12,去程,14,廈安里
12,去程,15,大埔街
12,去程,16,聯合醫院和平院區
12,去程,17,捷運西門站
12,去程,18,中華路北站
12,去程,19,捷運北門站
12,去程,20,延平一站(長安)
12,去程,21,圓環(重慶)
12,去程,22,圓環(南京)
12,去程,23,捷運中山站(志仁高中)
12,去程,24,南京林森路口
12,去程,25,南京吉林路口
12,去程,26,捷運松江南京站
12,去程,27,長春國小
12,去程,28,臺北大學(臺北校區)
12,去程,29,長春市場
12,去程,30,慶城街口
12,去程,31,長庚醫院
12,去程,32,公教住宅
12,去程,33,介壽國中
12,去程,34,聯合二村
12,去程,35,民生社區活動中心
12,去程,36,廣合新村
12,去程,37,三民國小
12,去程,38,新益里
12,回程,1,民生國中
12,回程,2,新東街口
12,回程,3,民生社區活動中心
12,回程,4,聯合二村
12,回程,5,介壽國中
12,回程,6,公教住宅
12,回程,7,民生敦化路口
12,回程,8,興安華城
12,回程,9,長春市場
12,回程,10,臺北大學(臺北校區)
12,回程,11,長春國小
12,回程,12,松江長春路口
12,回程,13,南京吉林路口
12,回程,14,南京林森路口
12,回程,15,捷運中山站(志仁高中)
12,回程,16,後車站
12,回程,17,延平一站(長安)
12,回程,18,聯合醫院中興院區(塔城)
12,回程,19,捷運北門站
12,回程,20,中華路北站
12,回程,21,捷運西門站
12,回程,22,小南門
12,回程,23,聯合醫院和平院區
12,回程,24,大埔街
12,回程,25,廈安里
12,回程,26,南機場公寓
12,回程,27,中華南海路口
12,回程,28,國興路口
12,回程,29,古亭國中
12,回程,30,萬華醫院
12,回程,31,國興社區
12,回程,32,青年公園(國興)
12,回程,33,青年公園(青年)
12,回程,34,青年社區
12,回程,35,中正新城
12,回程,36,青年路
12,回程,37,青年路派出所
12,回程,38,光仁國小
12,回程,39,果菜市場
12,回程,40,華中河濱公園
14,去程,1,蘆洲站
14,去程,2,和平路口
14,去程,3,蘆洲監理站(中正路)
14,去程,4,蘆洲國小
14,去程,5,中原公寓
14,去程,6,空中大學(中正路)
14,去程,7,王爺廟口
14,去程,8,民族路口
14,去程,9,捷運蘆洲站
14,去程,10,捷運蘆洲站
14,去程,11,長榮路
14,去程,12,永平市場
14,去程,13,永樂街
14,去程,14,長安街
14,去程,15,成功國小
14,去程,16,永康公園
14,去程,17,長安街一
14,去程,18,忠義廟
14,去程,19,延平里
14,去程,20,九芎街
14,去程,21,九芎廟
14,去程,22,九芎街口
14,去程,23,永安里
14,去程,24,大同新村
14,去程,25,褒仔寮
14,去程,26,穀保家商
14,去程,27,仙公廟
14,去程,28,博愛新村
14,去程,29,三重商工(中正北路)
14,去程,30,忠孝三民街口
14,去程,31,東海中學
14,去程,32,三民街
14,去程,33,三重稅捐分處
14,去程,34,菜寮(重陽路)
14,去程,35,菜寮(重新路)
14,去程,36,捷運菜寮站
14,去程,37,中山藝術公園
14,去程,38,中正南路
14,去程,39,重安街口
14,去程,40,臺北車站(鄭州)
14,回程,1,行政院
14,回程,2,臺北車站(忠孝)
14,回程,3,重安街口
14,回程,4,中正南路
14,回程,5,中山藝術公園
14,回程,6,捷運菜寮站
14,回程,7,菜寮(重新路)
14,回程,8,菜寮(重陽路)
14,回程,9,三重稅捐分處
14,回程,10,三民街
14,回程,11,東海中學
14,回程,12,忠孝三民街口
14,回程,13,三重商工(中正北路)
14,回程,14,博愛新村
14,回程,15,仙公廟
14,回程,16,穀保家商
14,回程,17,褒仔寮
14,回程,18,大同新村
14,回程,19,永安里
14,回程,20,九芎街口
14,回程,21,九芎廟
14,回程,22,九芎街
14,回程,23,延平里
14,回程,24,忠義廟
14,回程,25,長安街一
14,回程,26,永康公園
14,回程,27,成功國小
14,回程,28,長安街
14,回程,29,永樂街
14,回程,30,永平市場
14,回程,31,長榮路
14,回程,32,捷運蘆洲站
14,回程,33,民族路口
14,回程,34,王爺廟口
14,回程,35,空中大學(中正路)
14,回程,36,中原公寓
14,回程,37,蘆洲國小
14,回程,38,蘆洲監理站
14,回程,39,和平路口
14,回程,40,蘆洲站
18,去程,1,華江站
18,去程,2,人壽一村
18,去程,3,大理高中
18,去程,4,華江派出所
18,去程,5,龍山國小
18,去程,6,萬華分局
18,去程,7,桂林路
18,去程,8,昆明活動中心
18,去程,9,內江街
18,去程,10,西門市場(漢中)
18,去程,11,寶慶路
18,去程,12,博愛路
18,去程,13,臺北郵局
18,去程,14,臺北車站(忠孝)
18,去程,15,臺大醫院
18,去程,16,捷運中正紀念堂站(中山)
18,去程,17,捷運中正紀念堂站(勞保局)
18,去程,18,自來水西分處(寧波)
18,去程,19,聯合醫院婦幼院區一
18,去程,20,南昌家具街
18,去程,21,捷運古亭站(和平)
18,去程,22,師大
18,去程,23,師大綜合大樓
18,去程,24,溫州街口
18,去程,25,大安森林公園
18,去程,26,龍門國中(和平)
18,去程,27,復興南路口
18,去程,28,國立臺北教育大學
18,去程,29,臥龍街
18,去程,30,和平安和路口
18,去程,31,捷運六張犁站(和平)
18,去程,32,富陽街口
18,去程,33,黎忠市場
18,去程,34,捷運麟光站
18,回程,1,黎忠市場
18,回程,2,富陽街口
18,回程,3,捷運六張犁站(和平)
18,回程,4,和平安和路口
